School Name,State,region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Dallas Baptist University,Texas,Southern,39400.00,"$60,200.00 ","$38,500.00 ","$50,300.00 ","$81,800.00 ","$98,100.00 "
Austin Peay State University,Texas,Southern,37700.00,"$59,200.00 ","$32,200.00 ","$40,500.00 ","$73,900.00 ","$96,200.00 "
Saint Leo University,Florida,Southern,40900.00,"$57,800.00 ","$34,400.00 ","$41,800.00 ","$80,600.00 ","$113,000.00 "
Tusculum College,Tennessee,Southern,36900.00,"$55,500.00 ","$36,200.00 ","$43,000.00 ","$87,300.00 ","$124,000.00 "
Virginia Wesleyan College (VWC),Virginia,Southern,34600.00,"$54,900.00 ",N/A,"$37,100.00 ","$88,900.00 ",N/A
"Lee University (Cleveland, TN)",Tennessee,Southern,34500.00,"$53,900.00 ",N/A,"$44,500.00 ","$76,800.00 ",N/A
Florida Metropolitan University (FMU),Florida,Southern,36600.00,"$51,000.00 ","$32,800.00 ","$36,800.00 ","$70,400.00 ","$102,000.00 "
Dartmouth College,New Hampshire,Northeastern,58000.00,"$134,000.00 ","$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 "
Princeton University,New Jersey,Northeastern,66500.00,"$131,000.00 ","$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 "
Massachusetts Institute of Technology (MIT),Massachusetts,Northeastern,72200.00,"$126,000.00 ","$76,800.00 ","$99,200.00 ","$168,000.00 ","$220,000.00 "
Yale University,Connecticut,Northeastern,59100.00,"$126,000.00 ","$58,000.00 ","$80,600.00 ","$198,000.00 ","$326,000.00 "
Harvard University,Massachusetts,Northeastern,63400.00,"$124,000.00 ","$54,800.00 ","$86,200.00 ","$179,000.00 ","$288,000.00 "
University of Pennsylvania,Pennsylvania,Northeastern,60900.00,"$120,000.00 ","$55,900.00 ","$79,200.00 ","$192,000.00 ","$282,000.00 "
"Polytechnic University of New York, Brooklyn",New York,Northeastern,62400.00,"$114,000.00 ","$66,800.00 ","$94,300.00 ","$143,000.00 ","$190,000.00 "
Cooper Union,New York,Northeastern,62200.00,"$114,000.00 ",N/A,"$80,200.00 ","$142,000.00 ",N/A
Worcester Polytechnic Institute (WPI),Massachusetts,Northeastern,61000.00,"$114,000.00 ","$80,000.00 ","$91,200.00 ","$137,000.00 ","$180,000.00 "
Carnegie Mellon University (CMU),Pennsylvania,Northeastern,61800.00,"$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 "
Rensselaer Polytechnic Institute (RPI),Connecticut,Northeastern,61100.00,"$110,000.00 ","$71,600.00 ","$85,500.00 ","$140,000.00 ","$182,000.00 "
Cornell University,New York,Northeastern,60300.00,"$110,000.00 ","$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 "
